All values are in atomic unit.



R(bohrs)  E_BO             7Li_ad	  6Li_ad	   H_ad	           D_ad	           T_ad	          7LiH_ad          6LiH_ad	   7LiD_ad	   6LiD_ad	   7LiT_ad	    6LiT_ad	 E_BO+7LiH_ad	 E_BO+6LiH_ad	 E_BO+7LiD_ad	 E_BO+6LiD_ad	 E_BO+7LiT_ad	 E_BO+6LiT_ad
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
3.4	-8.06665693 	0.00060155 	0.00070168 	0.00031215 	0.00015615 	0.00010427 	0.00091370 	0.00101383 	0.00075771 	0.00085783 	0.00041642 	0.00026042 	-8.06574323 	-8.06564310 	-8.06589922 	-8.06579910 	-8.06624051 	-8.06639651 
3.5	-8.06472319 	0.00060116 	0.00070121 	0.00030923 	0.00015469 	0.00010329 	0.00091039 	0.00101045 	0.00075585 	0.00085591 	0.00041253 	0.00025799 	-8.06381280 	-8.06371274 	-8.06396734 	-8.06386728 	-8.06431066 	-8.06446520 
3.6	-8.06254219 	0.00060086 	0.00070086 	0.00030659 	0.00015337 	0.00010241 	0.00090745 	0.00100746 	0.00075423 	0.00085424 	0.00040900 	0.00025578 	-8.06163474 	-8.06153473 	-8.06178796 	-8.06168795 	-8.06213318 	-8.06228640 
3.7	-8.06016418 	0.00060058 	0.00070054 	0.00030409 	0.00015212 	0.00010158 	0.00090467 	0.00100464 	0.00075270 	0.00085267 	0.00040567 	0.00025370 	-8.05925950 	-8.05915954 	-8.05941147 	-8.05931151 	-8.05975851 	-8.05991048 
3.8	-8.05763248 	0.00060033 	0.00070025 	0.00030177 	0.00015096 	0.00010080 	0.00090210 	0.00100202 	0.00075129 	0.00085121 	0.00040257 	0.00025176 	-8.05673038 	-8.05663046 	-8.05688119 	-8.05678127 	-8.05722991 	-8.05738072 
3.9	-8.05498403 	0.00060013 	0.00070001 	0.00029984 	0.00014999 	0.00010016 	0.00089996 	0.00099985 	0.00075012 	0.00085001 	0.00039999 	0.00025015 	-8.05408407 	-8.05398418 	-8.05423391 	-8.05413402 	-8.05458404 	-8.05473388 
4	-8.05224940 	0.00060000 	0.00069986 	0.00029800 	0.00014907 	0.00009954 	0.00089800 	0.00099786 	0.00074907 	0.00084894 	0.00039754 	0.00024862 	-8.05135140 	-8.05125154 	-8.05150033 	-8.05140047 	-8.05185186 	-8.05200079 
4.1	-8.04945489 	0.00059986 	0.00069970 	0.00029618 	0.00014816 	0.00009893 	0.00089604 	0.00099588 	0.00074802 	0.00084786 	0.00039512 	0.00024710 	-8.04855885 	-8.04845901 	-8.04870687 	-8.04860703 	-8.04905977 	-8.04920779 
4.2	-8.04662293 	0.00059975 	0.00069957 	0.00029453 	0.00014734 	0.00009838 	0.00089428 	0.00099410 	0.00074709 	0.00084691 	0.00039291 	0.00024572 	-8.04572865 	-8.04562883 	-8.04587584 	-8.04577602 	-8.04623001 	-8.04637721 
4.3	-8.04377297 	0.00059972 	0.00069954 	0.00029310 	0.00014662 	0.00009791 	0.00089282 	0.00099264 	0.00074634 	0.00084616 	0.00039101 	0.00024453 	-8.04288014 	-8.04278033 	-8.04302662 	-8.04292681 	-8.04338196 	-8.04352844 
4.4	-8.04092057 	0.00059963 	0.00069944 	0.00029158 	0.00014586 	0.00009740 	0.00089121 	0.00099101 	0.00074550 	0.00084530 	0.00038897 	0.00024326 	-8.04002936 	-8.03992956 	-8.04017508 	-8.04007527 	-8.04053160 	-8.04067731 
4.5	-8.03808039 	0.00059967 	0.00069948 	0.00029034 	0.00014524 	0.00009698 	0.00089001 	0.00098982 	0.00074492 	0.00084473 	0.00038732 	0.00024222 	-8.03719038 	-8.03709057 	-8.03733547 	-8.03723566 	-8.03769307 	-8.03783816 
4.6	-8.03526326 	0.00059969 	0.00069950 	0.00028895 	0.00014455 	0.00009652 	0.00088864 	0.00098845 	0.00074424 	0.00084405 	0.00038547 	0.00024106 	-8.03437462 	-8.03427480 	-8.03451902 	-8.03441921 	-8.03487779 	-8.03502219 
4.7	-8.03247917 	0.00059976 	0.00069958 	0.00028792 	0.00014403 	0.00009617 	0.00088767 	0.00098750 	0.00074379 	0.00084361 	0.00038409 	0.00024020 	-8.03159150 	-8.03149168 	-8.03173539 	-8.03163556 	-8.03209508 	-8.03223897 
4.8	-8.02973712 	0.00059984 	0.00069967 	0.00028696 	0.00014355 	0.00009585 	0.00088680 	0.00098664 	0.00074339 	0.00084323 	0.00038282 	0.00023941 	-8.02885032 	-8.02875048 	-8.02899373 	-8.02889390 	-8.02935430 	-8.02949771 
4.9	-8.02704441 	0.00059994 	0.00069980 	0.00028597 	0.00014306 	0.00009552 	0.00088592 	0.00098577 	0.00074300 	0.00084285 	0.00038150 	0.00023858 	-8.02615849 	-8.02605864 	-8.02630141 	-8.02620155 	-8.02666291 	-8.02680582 
5	-8.02440673 	0.00060011 	0.00069999 	0.00028500 	0.00014257 	0.00009520 	0.00088511 	0.00098499 	0.00074268 	0.00084256 	0.00038020 	0.00023777 	-8.02352162 	-8.02342174 	-8.02366405 	-8.02356417 	-8.02402653 	-8.02416896 
5.1	-8.02182995 	0.00060022 	0.00070012 	0.00028434 	0.00014224 	0.00009498 	0.00088456 	0.00098447 	0.00074246 	0.00084237 	0.00037932 	0.00023722 	-8.02094538 	-8.02084548 	-8.02108749 	-8.02098758 	-8.02145063 	-8.02159273 
5.2	-8.01931846 	0.00060045 	0.00070039 	0.00028374 	0.00014194 	0.00009478 	0.00088419 	0.00098413 	0.00074239 	0.00084233 	0.00037852 	0.00023672 	-8.01843427 	-8.01833433 	-8.01857607 	-8.01847613 	-8.01893994 	-8.01908174 
5.3	-8.01687662 	0.00060068 	0.00070066 	0.00028309 	0.00014161 	0.00009456 	0.00088377 	0.00098375 	0.00074230 	0.00084227 	0.00037765 	0.00023618 	-8.01599285 	-8.01589287 	-8.01613432 	-8.01603435 	-8.01649897 	-8.01664044 
5.4	-8.01450804 	0.00060096 	0.00070098 	0.00028259 	0.00014137 	0.00009440 	0.00088355 	0.00098357 	0.00074232 	0.00084235 	0.00037699 	0.00023576 	-8.01362449 	-8.01352447 	-8.01376572 	-8.01366569 	-8.01413106 	-8.01427228 
5.5	-8.01221569 	0.00060125 	0.00070132 	0.00028246 	0.00014130 	0.00009435 	0.00088371 	0.00098378 	0.00074255 	0.00084262 	0.00037681 	0.00023565 	-8.01133198 	-8.01123191 	-8.01147314 	-8.01137307 	-8.01183888 	-8.01198004 
5.6	-8.01000162 	0.00060155 	0.00070167 	0.00028189 	0.00014102 	0.00009416 	0.00088344 	0.00098356 	0.00074256 	0.00084268 	0.00037605 	0.00023518 	-8.00911818 	-8.00901806 	-8.00925906 	-8.00915894 	-8.00962557 	-8.00976644 
5.7	-8.00786867 	0.00060188 	0.00070205 	0.00028178 	0.00014096 	0.00009412 	0.00088365 	0.00098383 	0.00074283 	0.00084301 	0.00037590 	0.00023508 	-8.00698502 	-8.00688484 	-8.00712584 	-8.00702566 	-8.00749277 	-8.00763359 
5.8	-8.00581890 	0.00060224 	0.00070247 	0.00028149 	0.00014082 	0.00009403 	0.00088373 	0.00098397 	0.00074306 	0.00084329 	0.00037552 	0.00023484 	-8.00493517 	-8.00483493 	-8.00507585 	-8.00497561 	-8.00544338 	-8.00558406 
5.9	-8.00385430 	0.00060263 	0.00070293 	0.00028144 	0.00014079 	0.00009401 	0.00088407 	0.00098437 	0.00074342 	0.00084372 	0.00037545 	0.00023480 	-8.00297023 	-8.00286992 	-8.00311088 	-8.00301058 	-8.00347884 	-8.00361950 
